Age,Income,Monthly_Expenses,Existing_Investments,Financial_Goals,Risk_Tolerance,Family_Size,Debt_Obligations,Hobbies_Interests,Investment_Preferences
56,43885,2287,203868,Retirement,High,1,24520,Cooking,ETFs
54,19307,4803,171064,Buying a House,Medium,1,7907,Reading,ETFs
63,78227,4073,91711,Buying a House,Low,3,15002,Travel,Real Estate
59,90509,5435,45912,Retirement,Medium,1,18973,Gaming,Real Estate
41,84433,7029,128284,Retirement,Medium,3,7236,Travel,Stocks
46,44404,1254,96963,Education,High,1,11697,Travel,Mutual Funds
54,95776,4570,177557,Retirement,Medium,3,23131,Sports,Bonds
20,61035,2322,-8319,Retirement,Low,4,21298,Cooking,Mutual Funds
54,56861,5183,209402,Retirement,High,3,28063,Cooking,Mutual Funds
56,60587,3592,126599,Education,Low,3,13994,Cooking,ETFs
66,76568,4040,59349,Retirement,High,2,20576,Sports,Real Estate
33,45305,2075,136699,Buying a House,High,4,13281,Reading,ETFs
22,74259,3360,164871,Education,Medium,4,27061,Reading,Bonds
20,83588,4134,105717,Education,Low,4,31907,Gaming,Stocks
24,97146,6034,11753,Buying a House,High,1,24833,Reading,Bonds
45,78519,2808,85307,Buying a House,Medium,2,30611,Reading,ETFs
33,48207,3173,151969,Buying a House,High,4,20324,Cooking,ETFs
58,77977,5416,124833,Retirement,High,1,28055,Travel,ETFs
46,53794,2710,92174,Buying a House,High,1,20754,Reading,ETFs
28,52641,5713,165415,Retirement,High,1,9750,Reading,Mutual Funds
34,47745,3986,136965,Education,High,2,22467,Sports,Stocks
34,36774,4454,140816,Education,High,1,10047,Gaming,Mutual Funds
45,63656,4551,79468,Buying a House,Medium,2,43391,Sports,ETFs
61,97577,3075,74630,Retirement,High,3,16659,Cooking,Real Estate
32,120129,4584,15002,Buying a House,Low,1,26450,Travel,Mutual Funds
51,63528,2841,87030,Buying a House,Medium,4,19875,Gaming,ETFs
58,96722,3246,146769,Retirement,Low,1,7663,Sports,ETFs
68,67108,4838,89795,Buying a House,High,3,1014,Reading,Stocks
51,41985,4440,122276,Education,Low,3,27490,Reading,Bonds
23,89018,3887,155559,Buying a House,High,1,35493,Gaming,Mutual Funds
49,79696,2111,118641,Retirement,High,3,12651,Reading,Mutual Funds
56,111360,2486,123525,Retirement,Medium,2,3433,Sports,Mutual Funds
42,44306,4415,32108,Education,Medium,2,16748,Sports,ETFs
58,130920,5098,83871,Retirement,High,1,10628,Reading,Stocks
64,106834,2335,186331,Retirement,Medium,2,13496,Reading,ETFs
34,74641,2740,105189,Education,Low,2,26103,Cooking,ETFs
62,69027,4201,194836,Buying a House,Medium,4,19495,Travel,Real Estate
48,60683,4169,63844,Education,Medium,1,11704,Gaming,Stocks
55,77194,1564,111697,Buying a House,Low,3,25885,Sports,Mutual Funds
32,71321,4242,80866,Education,Medium,1,26668,Gaming,Bonds
51,85275,3102,129599,Buying a House,High,2,16629,Cooking,Mutual Funds
26,69112,6461,144750,Education,Low,4,21379,Sports,ETFs
41,103299,4373,130123,Buying a House,High,1,25205,Cooking,Stocks
47,77500,4632,152092,Education,Low,1,24261,Cooking,Stocks
21,69863,4671,99341,Buying a House,High,2,20406,Reading,Stocks
61,95485,2179,90473,Education,High,2,34325,Gaming,Real Estate
64,42549,6915,12090,Retirement,Medium,1,25826,Gaming,Mutual Funds
25,81819,1565,131922,Buying a House,High,2,15493,Reading,Real Estate
47,75511,5193,108609,Education,Medium,2,15553,Gaming,Bonds
47,46782,4927,96604,Buying a House,Low,2,14419,Reading,ETFs
63,40829,3284,90459,Buying a House,High,2,26321,Sports,Real Estate
63,95206,4999,98156,Education,High,2,13772,Cooking,Real Estate
39,94255,3523,88188,Buying a House,Low,4,15751,Cooking,ETFs
49,78451,2986,73598,Education,Low,2,30580,Gaming,Stocks
30,109333,4704,111979,Retirement,High,3,21916,Travel,ETFs
47,83819,2490,124207,Buying a House,Low,1,31985,Cooking,Mutual Funds
44,99996,3663,61471,Retirement,Medium,4,27980,Reading,ETFs
58,83406,3108,79963,Buying a House,Low,4,8233,Travel,Stocks
52,69483,3496,89768,Buying a House,Low,2,18978,Travel,ETFs
20,53849,4649,100240,Buying a House,High,1,29899,Cooking,Real Estate
46,62931,3108,93590,Education,Medium,3,7778,Cooking,Bonds
32,69857,3711,132986,Retirement,Low,2,24197,Cooking,Real Estate
60,102263,3245,17381,Buying a House,Medium,1,19607,Reading,Bonds
22,90398,6165,26248,Education,Medium,2,2452,Travel,ETFs
58,81606,4513,109678,Buying a House,Medium,2,21196,Gaming,Mutual Funds
25,92400,4330,69865,Education,High,2,11625,Reading,ETFs
27,85547,5025,144212,Buying a House,Low,2,8323,Sports,Stocks
46,80238,3108,158490,Retirement,High,2,20091,Cooking,ETFs
28,45026,5288,111687,Retirement,Low,2,691,Travel,Bonds
56,97783,4519,46401,Buying a House,Low,2,13257,Reading,Real Estate
52,65829,1658,152729,Education,High,3,45511,Sports,Mutual Funds
61,96770,1857,109945,Buying a House,Medium,4,26502,Reading,ETFs
63,98704,3141,25653,Education,Medium,3,11185,Reading,ETFs
43,61599,2018,30074,Buying a House,Low,2,34041,Gaming,Real Estate
34,93994,3642,175847,Education,High,2,10079,Gaming,Mutual Funds
51,67780,2479,167556,Retirement,Medium,3,14463,Reading,ETFs
51,67899,3853,-25857,Buying a House,Medium,3,8511,Sports,ETFs
43,80149,6117,32110,Retirement,Low,4,22560,Travel,Bonds
60,80689,3925,157042,Retirement,Low,3,33686,Travel,Bonds
68,75771,3545,99075,Buying a House,High,4,10009,Cooking,Stocks
68,48314,4582,135092,Buying a House,Low,2,-604,Cooking,Real Estate
31,72571,2955,96902,Education,Medium,1,30909,Travel,Mutual Funds
58,120569,5265,132724,Education,Medium,1,35538,Reading,ETFs
21,19319,4742,100291,Retirement,Medium,1,49,Reading,ETFs
22,92394,4058,78119,Education,Medium,1,24600,Gaming,Stocks
68,96142,4231,152937,Education,High,2,22265,Gaming,ETFs
56,47833,7062,110102,Buying a House,High,1,12125,Cooking,Real Estate
68,65611,5413,132619,Education,Low,3,6056,Travel,Stocks
36,54985,7299,107872,Retirement,Low,3,29917,Reading,Real Estate
68,112079,4798,75682,Education,Low,1,21790,Travel,Stocks
21,97060,1792,180419,Retirement,High,3,22544,Sports,ETFs
21,98028,3606,117748,Buying a House,Medium,4,13782,Travel,Stocks
47,77412,1449,82247,Retirement,Low,2,11980,Sports,Bonds
42,101241,4792,163916,Education,Medium,1,-4549,Gaming,Mutual Funds
56,74835,5118,33958,Buying a House,Low,1,17719,Gaming,ETFs
51,102183,2671,211814,Education,Low,2,34388,Cooking,Mutual Funds
52,72026,3016,91042,Buying a House,Low,3,11097,Travel,ETFs
20,61415,4223,36599,Buying a House,Low,2,4775,Travel,Mutual Funds
38,111219,2202,195297,Education,Low,2,24356,Sports,Bonds
21,74583,2090,76841,Education,Medium,3,26200,Gaming,Mutual Funds
63,57024,5857,112162,Buying a House,Low,2,14140,Sports,Stocks
45,56807,4172,135884,Buying a House,Medium,3,16512,Gaming,Mutual Funds
51,56868,3162,159208,Education,High,3,22639,Sports,ETFs
25,91888,1461,114988,Retirement,Low,2,18444,Gaming,Real Estate
51,73022,5278,67634,Education,Medium,4,30001,Sports,Mutual Funds
23,120959,2973,110949,Buying a House,High,3,44372,Gaming,Mutual Funds
30,98723,6791,79034,Education,High,2,2908,Sports,Mutual Funds
36,80142,5288,112450,Retirement,High,3,32297,Travel,ETFs
57,103077,2787,181407,Education,Medium,4,21052,Cooking,Mutual Funds
43,65089,2926,137796,Buying a House,Low,4,33882,Sports,ETFs
24,37904,6582,110332,Education,Low,1,27243,Cooking,ETFs
53,55208,3873,136924,Buying a House,Medium,3,20611,Travel,Real Estate
25,77944,3230,140504,Buying a House,Low,3,27600,Travel,Stocks
41,70549,4041,46106,Education,Medium,2,16058,Gaming,ETFs
30,91488,3223,102086,Buying a House,Low,3,12256,Cooking,Bonds
67,72507,4361,228126,Buying a House,High,1,28108,Reading,Mutual Funds
35,89960,3886,160641,Retirement,Low,4,11556,Gaming,Bonds
52,105019,5313,74828,Retirement,Medium,4,26423,Cooking,Mutual Funds
28,72446,3417,69839,Retirement,Medium,1,20307,Sports,Real Estate
25,86102,2672,68173,Retirement,High,3,-3294,Sports,ETFs
35,39904,3476,143315,Buying a House,Medium,3,14256,Travel,Stocks
48,72522,3467,180382,Education,Low,1,23348,Reading,ETFs
22,50360,3883,129108,Buying a House,Low,2,15939,Sports,Mutual Funds
39,77904,4951,107858,Buying a House,High,4,-5467,Cooking,Stocks
55,79719,4869,77792,Buying a House,Medium,1,33207,Cooking,ETFs
38,79653,5799,116468,Education,High,1,21693,Sports,Stocks
45,65397,2782,58993,Retirement,Low,3,24437,Cooking,Mutual Funds
22,120969,4583,3211,Buying a House,High,4,15267,Cooking,Real Estate
38,49639,5090,181841,Buying a House,Medium,3,25314,Travel,Real Estate
39,48417,2988,49709,Retirement,High,1,38348,Reading,ETFs
51,108099,3688,83758,Buying a House,Medium,2,12649,Travel,Bonds
26,60914,1375,132817,Education,Medium,4,36670,Reading,Mutual Funds
60,56106,5360,171723,Buying a House,Low,1,23985,Cooking,ETFs
52,121058,3676,112856,Buying a House,Low,1,11305,Reading,ETFs
59,94714,5209,40314,Retirement,Low,2,42123,Cooking,Real Estate
58,63110,4309,84932,Buying a House,Medium,1,23916,Cooking,Stocks
37,79350,3722,66075,Buying a House,High,1,26764,Travel,Mutual Funds
59,113917,1610,98089,Education,Medium,4,17306,Travel,Stocks
20,88832,1877,161599,Retirement,Low,4,12036,Gaming,Mutual Funds
30,100722,110,-26869,Retirement,Low,4,21678,Sports,Bonds
47,91096,3156,79430,Education,High,3,35814,Gaming,Real Estate
44,93605,7417,75797,Buying a House,Low,2,16903,Gaming,Bonds
69,75794,2068,37161,Retirement,Low,4,19732,Reading,ETFs
42,75226,52,129274,Retirement,Low,3,34563,Cooking,Real Estate
50,80341,5444,29251,Buying a House,High,3,16996,Cooking,ETFs
49,89689,7545,35005,Buying a House,Medium,2,25102,Cooking,Bonds
61,69333,4446,142553,Retirement,Low,2,28773,Sports,Mutual Funds
54,77441,4433,175028,Buying a House,High,1,18032,Reading,ETFs
26,68793,3535,96195,Retirement,Low,3,23098,Reading,Stocks
35,77313,1308,39130,Buying a House,High,4,26611,Cooking,Mutual Funds
45,49980,1823,64722,Buying a House,Low,2,15990,Gaming,Mutual Funds
67,127119,3524,150400,Education,High,3,28157,Sports,Bonds
68,60341,3237,105821,Buying a House,Low,4,14530,Gaming,Bonds
21,67770,3827,94948,Education,Medium,3,13249,Travel,Real Estate
20,58614,5243,115652,Buying a House,Low,2,4729,Reading,Real Estate
67,87314,3127,98117,Retirement,High,1,14965,Reading,Stocks
31,71079,5274,177285,Retirement,Low,3,11844,Gaming,Mutual Funds
24,55723,3137,62542,Buying a House,Medium,4,15991,Sports,Stocks
56,88137,5557,56802,Buying a House,Low,2,26119,Reading,Stocks
51,90832,4129,30827,Retirement,High,1,2743,Gaming,Bonds
28,73662,3346,73000,Buying a House,High,4,253,Sports,Stocks
60,61727,4103,45401,Education,Medium,4,12509,Gaming,Stocks
54,118821,3559,110903,Education,High,4,24612,Sports,ETFs
38,81801,4169,101047,Education,Low,3,22888,Cooking,Real Estate
67,49518,5137,46046,Education,Low,2,12349,Sports,Real Estate
35,103280,3869,129456,Education,Low,4,31694,Travel,Mutual Funds
22,57884,3445,175840,Buying a House,High,3,13415,Cooking,Real Estate
39,129837,2314,117891,Buying a House,Low,2,24624,Gaming,Mutual Funds
43,76593,4868,-27174,Education,Low,2,16372,Cooking,ETFs
52,95266,4522,199356,Buying a House,Low,3,11312,Cooking,Real Estate
43,33399,2227,137346,Buying a House,Medium,3,13949,Gaming,ETFs
30,49317,5253,197820,Education,High,4,27340,Gaming,Real Estate
68,101677,2202,154536,Buying a House,High,2,23610,Travel,Real Estate
27,81356,5543,164525,Buying a House,High,1,29681,Gaming,ETFs
55,115847,5031,110263,Buying a House,Medium,3,23609,Reading,Stocks
57,84703,4629,86885,Education,High,2,3888,Reading,Stocks
59,77905,3434,118674,Buying a House,Medium,2,41144,Travel,Stocks
39,109271,4863,64560,Retirement,Medium,4,23751,Sports,Stocks
54,95202,5614,121694,Retirement,High,1,25146,Sports,Real Estate
67,71074,4888,-31339,Education,Low,4,16231,Reading,Bonds
44,53117,2994,102146,Retirement,Low,1,31131,Gaming,ETFs
54,27567,4401,167233,Education,High,1,9068,Travel,Bonds
44,66246,5698,104715,Retirement,High,3,26098,Sports,Bonds
48,51273,7298,186374,Retirement,Medium,2,-796,Sports,Mutual Funds
37,126954,3692,86812,Retirement,High,2,26772,Cooking,Stocks
65,61992,5286,150132,Education,Medium,2,9204,Reading,Real Estate
37,61445,5701,56086,Education,High,1,22769,Gaming,Stocks
21,44575,2781,148097,Buying a House,Low,2,33573,Travel,Stocks
54,69673,6673,111629,Education,Low,3,28227,Sports,Bonds
35,61709,2402,89012,Retirement,High,1,32243,Cooking,Mutual Funds
60,109754,5213,-28694,Retirement,Medium,1,31208,Reading,Stocks
55,78369,4457,87281,Education,Low,1,14757,Reading,ETFs
52,74822,4083,110672,Education,Medium,1,25983,Travel,ETFs
23,72306,7820,141435,Education,High,3,2750,Sports,Stocks
52,90723,3548,178047,Buying a House,High,2,13130,Travel,Bonds
33,65953,3523,201751,Retirement,Low,3,33926,Travel,Bonds
40,88344,5997,162313,Buying a House,High,2,16149,Cooking,Real Estate
67,107279,5142,71895,Buying a House,Low,3,1319,Reading,Mutual Funds
39,84201,5923,84759,Retirement,Medium,4,40136,Gaming,Bonds
27,70005,4175,136945,Retirement,Low,4,25622,Reading,Real Estate
26,55930,4475,125980,Education,Low,4,27644,Reading,ETFs
22,69497,6851,181417,Education,Medium,4,10195,Cooking,ETFs
36,86261,2746,223969,Buying a House,Low,1,22840,Gaming,ETFs
52,44349,3845,213359,Education,Low,1,22575,Sports,Stocks
67,91630,5197,174696,Education,High,3,11785,Gaming,Mutual Funds
31,79152,3706,126395,Retirement,Medium,3,18301,Sports,Real Estate
41,72016,3144,167466,Retirement,Low,4,4995,Gaming,Mutual Funds
41,61811,4927,183072,Education,Medium,2,16532,Travel,Stocks
65,65472,6003,92634,Retirement,Medium,4,29738,Gaming,Real Estate
49,86946,3788,73366,Education,Low,3,12531,Cooking,Real Estate
57,72435,3747,61628,Retirement,High,4,39072,Sports,Bonds
57,64977,3028,56180,Retirement,Medium,3,5639,Reading,Mutual Funds
64,84371,3556,30900,Retirement,Low,4,17398,Cooking,Mutual Funds
27,85163,5625,112495,Retirement,Medium,2,13435,Sports,Bonds
46,50016,4121,50012,Education,High,4,18198,Sports,ETFs
46,86429,2792,60823,Buying a House,High,2,33714,Reading,Stocks
53,125033,4393,135062,Retirement,High,2,10155,Travel,Mutual Funds
40,84392,5576,109080,Education,Low,3,15487,Cooking,Bonds
49,41019,3157,121481,Education,Low,2,26545,Reading,Real Estate
52,78547,2007,168257,Retirement,High,1,20931,Reading,Bonds
47,38383,7286,143226,Buying a House,Low,1,21751,Travel,ETFs
66,138347,1932,175944,Retirement,High,1,10347,Cooking,Stocks
52,119713,3461,103998,Education,Low,3,19284,Reading,ETFs
24,61681,4348,180589,Buying a House,High,1,31315,Travel,Real Estate
67,30086,3591,117986,Education,Medium,3,3904,Cooking,Real Estate
38,57432,3887,108435,Retirement,High,3,13026,Gaming,Real Estate
23,71380,4865,173076,Buying a House,High,1,1844,Sports,Real Estate
54,39762,412,56392,Education,Low,2,25369,Travel,Bonds
68,73619,2099,201180,Education,Low,4,32254,Sports,Real Estate
36,71248,4066,85894,Education,Low,3,18165,Gaming,Real Estate
63,77503,3393,39094,Retirement,Low,1,9944,Reading,Bonds
47,79592,4194,132675,Buying a House,Low,3,10237,Reading,Real Estate
49,55687,4341,81133,Retirement,Low,2,17029,Cooking,ETFs
48,57931,826,201290,Retirement,Medium,2,16991,Travel,ETFs
65,75911,5910,78354,Retirement,High,1,29118,Travel,Mutual Funds
25,62380,3252,115722,Buying a House,High,3,13311,Cooking,ETFs
54,93149,2701,28720,Retirement,High,4,24350,Sports,Stocks
60,75717,4312,140645,Retirement,Medium,4,16945,Reading,Stocks
56,112300,4160,61130,Retirement,High,3,12552,Reading,Stocks
43,91409,5795,134666,Retirement,Medium,3,16696,Travel,Bonds
48,97074,4407,78582,Education,Medium,3,23365,Travel,ETFs
68,77651,5737,-2346,Retirement,Medium,1,29149,Cooking,Stocks
65,78147,2592,106559,Education,High,2,17480,Gaming,Mutual Funds
50,109626,4212,104321,Retirement,Medium,4,7960,Sports,Bonds
54,67434,2327,144053,Buying a House,High,1,29997,Gaming,Mutual Funds
52,85935,4146,177800,Education,High,3,11018,Gaming,ETFs
40,69675,3828,195620,Education,Low,3,22608,Travel,Real Estate
51,69627,3764,143207,Education,Low,2,19751,Travel,Mutual Funds
42,51622,3777,113930,Education,Medium,3,18414,Travel,Real Estate
52,60149,5104,28633,Buying a House,Medium,1,15130,Gaming,Bonds
22,56434,1588,110101,Retirement,High,1,26201,Sports,Mutual Funds
37,86887,2650,110747,Education,Medium,2,-15820,Travel,Mutual Funds
44,95804,3939,90067,Buying a House,Medium,1,31364,Reading,Bonds
61,73104,2232,131648,Education,High,4,10874,Sports,Bonds
50,79592,4069,156095,Retirement,Medium,1,24079,Reading,Stocks
22,71950,3923,59079,Education,Medium,1,23550,Sports,ETFs
59,58784,1894,58300,Buying a House,High,1,32749,Travel,Mutual Funds
65,92245,1820,93035,Retirement,High,4,21977,Cooking,Mutual Funds
43,88050,64,69238,Buying a House,Low,3,11708,Travel,Bonds
69,37149,2168,17937,Retirement,High,1,3952,Gaming,Bonds
51,69337,4021,50170,Retirement,Low,2,16511,Gaming,ETFs
66,57359,4234,38383,Retirement,Medium,4,418,Sports,Bonds
41,67181,4302,160422,Education,High,2,13715,Gaming,Real Estate
42,61591,2833,185141,Buying a House,High,1,17073,Travel,Real Estate
21,74071,3972,45228,Buying a House,High,2,13100,Reading,Real Estate
46,68401,4595,127303,Buying a House,Medium,1,20417,Travel,Real Estate
61,67977,2097,143675,Retirement,Low,4,17638,Sports,ETFs
21,97147,4184,25386,Education,Medium,2,16723,Gaming,Mutual Funds
45,86143,4984,108048,Retirement,Medium,2,-4241,Reading,Real Estate
36,60922,3263,226675,Buying a House,High,1,7052,Cooking,Bonds
59,63889,5593,133857,Education,Low,1,26426,Reading,Real Estate
52,84835,3298,87734,Education,Medium,3,28042,Reading,ETFs
28,84808,2709,71990,Education,High,1,1612,Travel,Bonds
62,62924,4835,-1123,Buying a House,Medium,1,11852,Cooking,Real Estate
67,70320,7049,123523,Education,Medium,3,30719,Sports,Mutual Funds
58,111936,4128,197390,Education,High,1,12819,Sports,Bonds
48,63269,4952,59322,Retirement,High,1,18885,Reading,Bonds
61,113216,3236,3220,Retirement,Low,3,34418,Reading,Mutual Funds
45,97073,2137,66788,Education,Medium,4,16384,Gaming,Bonds
54,109508,4249,144079,Education,High,4,14952,Cooking,Real Estate
69,62418,4486,78574,Retirement,High,1,18429,Reading,Bonds
44,71628,3463,58976,Retirement,Low,1,38534,Gaming,Real Estate
